StopAbbr,Lines
213483,89a Old National Highway / Flat Shoals (Inbound)
213482,89a Old National Highway / Flat Shoals (Outbound)
213316,"21 Memorial Drive (Outbound), 22 Glenwood (Outbound), 42 Pryor (Inbound)"
213324,"49 Hank Aaron / McDonough (Inbound), 49L Hank Aaron / McDonough / Constitution (Inbound)"
213588,"20L Rainbow / Fairington (Outbound), 20p Rainbow / Fairington (Outbound), 20 Rainbow / Fairington (Outbound)"
213446,84b Washington CCW loop (Inbound)
213281,192 Old Dixie / Tara Boulevard (Outbound)
213280,192 Old Dixie / Tara Boulevard (Inbound)
213279,192 Old Dixie / Tara Boulevard (Outbound)
213278,192 Old Dixie / Tara Boulevard (Outbound)
213277,192 Old Dixie / Tara Boulevard (Inbound)
213276,192 Old Dixie / Tara Boulevard (Outbound)
213274,192 Old Dixie / Tara Boulevard (Outbound)
213444,84b Washington CCW loop (Inbound)
213272,122 Lawrenceville Hwy (Inbound)
213265,"111 Hairston / Wesley Chapel (Outbound), 116 Redan (Outbound), 119 Hairston / Stone Mtn Village (Outbound)"
213263,55 Jonesboro (Outbound)
213262,55 Jonesboro (Inbound)
213517,1 Joseph Lowery / 17th (Inbound)
213260,"121L Memorial / Pleasantdale (Inbound), 122 Lawrenceville Hwy (Outbound)"
213259,"121L Memorial / Pleasantdale (Inbound), 122 Lawrenceville Hwy (Outbound)"
213254,800 Lovejoy (Inbound)
213253,800 Lovejoy (Inbound)
213252,800 Lovejoy (Inbound)
213251,800 Lovejoy (Inbound)
213250,800 Lovejoy (Inbound)
213249,800 Lovejoy (Inbound)
213248,800 Lovejoy (Inbound)
213243,800 Lovejoy (Inbound)
213247,800 Lovejoy (Inbound)
213238,15L Clifton / Panthersville (Outbound)
213237,15L Clifton / Panthersville (Inbound)
213229,15L Clifton / Panthersville (Outbound)
213235,15L Clifton / Panthersville (Inbound)
213232,15L Clifton / Panthersville (Outbound)
213230,15L Clifton / Panthersville (Inbound)
213222,15L Clifton / Panthersville (Outbound)
213217,15L Clifton / Panthersville (Inbound)
213227,165 Fairburn (Outbound)
213226,165 Fairburn (Inbound)
213225,122 Lawrenceville Hwy (Outbound)
213224,196 Upper Riverdale (Outbound)
213223,122 Lawrenceville Hwy (Outbound)
213221,196 Upper Riverdale (Inbound)
213220,122 Lawrenceville Hwy (Inbound)
213219,122 Lawrenceville Hwy (Inbound)
213218,122 Lawrenceville Hwy (Outbound)
213216,197 Battle Creek Road (Outbound)
213215,122 Lawrenceville Hwy (Inbound)
213213,197 Battle Creek Road (Outbound)
213212,197 Battle Creek Road (Outbound)
213210,122 Lawrenceville Hwy (Inbound)
213207,197 Battle Creek Road (Inbound)
213206,198 Southlake Parkway (Outbound)
213204,197 Battle Creek Road (Inbound)
213205,198 Southlake Parkway (Inbound)
213203,165 Fairburn (Inbound)
213202,198 Southlake Parkway (Inbound)
213201,197 Battle Creek Road (Inbound)
213200,198 Southlake Parkway (Outbound)
213196,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213193,121L Memorial / Pleasantdale (Outbound)
213194,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213192,121L Memorial / Pleasantdale (Outbound)
213191,121L Memorial / Pleasantdale (Outbound)
213190,121L Memorial / Pleasantdale (Outbound)
213188,121L Memorial / Pleasantdale (Outbound)
213189,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213186,121L Memorial / Pleasantdale (Outbound)
213187,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213184,121L Memorial / Pleasantdale (Outbound)
213185,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213183,121L Memorial / Pleasantdale (Outbound)
213181,121L Memorial / Pleasantdale (Outbound)
213182,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213179,121L Memorial / Pleasantdale (Outbound)
213180,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213178,121L Memorial / Pleasantdale (Outbound)
213176,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213175,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213174,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213173,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213172,"197 Battle Creek Road (Inbound), 198 Southlake Parkway (Inbound)"
213171,"197 Battle Creek Road (Outbound), 198 Southlake Parkway (Outbound)"
213170,197 Battle Creek Road (Outbound)
213169,197 Battle Creek Road (Inbound)
213162,192 Old Dixie / Tara Boulevard (Inbound)
213161,192 Old Dixie / Tara Boulevard (Inbound)
213160,192 Old Dixie / Tara Boulevard (Inbound)
213159,192 Old Dixie / Tara Boulevard (Inbound)
213157,192 Old Dixie / Tara Boulevard (Outbound)
213154,192 Old Dixie / Tara Boulevard (Outbound)
213132,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213131,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
213130,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213127,"165 Fairburn (Inbound), 73 Fulton Industrial (Inbound)"
213126,"165 Fairburn (Outbound), 73 Fulton Industrial (Outbound)"
213125,143 North Point Pkwy / Deerfield (Inbound&Outbound)
213510,89a Old National Highway / Flat Shoals (Outbound)
213114,"156 Boulder Park (Outbound), 165 Fairburn (Inbound&Outbound)"
213273,"162 Alison (Outbound), 81 Venetian Hills / Connally (Outbound)"
