StopAbbr,BusStopType,LineAbbr,IsTP,IsEOL,Helper-0,Helper-1,Helper-2,Helper-3,Helper-4,Helper-5,Helper-6,Helper-7,Helper-8,Helper-9,Helper-10,Helper-11,EOL-0,EOL-1,EOL-2,EOL-3,EOL-4,EOL-5,EOL-6,EOL-7,EOL-8,EOL-9,EOL-10,EOL-11,EOL-12,CountEOL
102222,SGN,49,FALSE,FALSE,102222-49-Northbound-53,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102224,SGN,49,FALSE,FALSE,102224-49-Northbound-52,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102226,STR,186,FALSE,FALSE,102226-186-Eastbound-2,,,,,,,,,,,,Snapfinger Wds Dr,,,,,,,,,,,,,1
102228,BEN,186;813,FALSE,FALSE,102228-813-Eastbound-40,102228-186-Eastbound-4,,,,,,,,,,,Snapfinger Wds Dr,Georgia State Stn,,,,,,,,,,,,2
102248,BEN,42;49,TRUE,TRUE,102248-49-Southbound-1,102248-42-Southbound-1,,,,,,,,,,,Lakewood Stn,Metro Transitional,,,,,,,,,,,,2
102252,SAT,55,FALSE,FALSE,102252-55-Northbound-70,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102253,SGN,55,FALSE,FALSE,102253-55-Northbound-71,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102258,STR,26;816,TRUE,TRUE,102258-26-Westbound-1,102258-816-Northbound-1,,,,,,,,,,,Bolton Rd,Emory University,,,,,,,,,,,,2
102274,SNT,21;55,TRUE,TRUE,102274-55-Southbound-1,102274-21-Eastbound-1,,,,,,,,,,,Kensington Stn,Forest Park,,,,,,,,,,,,2
102282,STR,186;813,FALSE,FALSE,102282-186-Eastbound-6,102282-813-Eastbound-42,,,,,,,,,,,Snapfinger Wds Dr,Georgia State Stn,,,,,,,,,,,,2
102294,STR,49;813,FALSE,FALSE,102294-49-Northbound-57,102294-813-Eastbound-37,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
102296,STR,49;813,FALSE,FALSE,102296-49-Northbound-56,102296-813-Eastbound-36,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
102298,SGN,3;816,FALSE,FALSE,102298-816-Northbound-5,102298-3-Eastbound-38,,,,,,,,,,,Helene Mills Sr Ctr,Emory University,,,,,,,,,,,,2
102308,STR,3;40;816,FALSE,FALSE,102308-40-Northbound-19,102308-3-Eastbound-36,102308-816-Northbound-3,,,,,,,,,,Helene Mills Sr Ctr,Arts Center Stn,Emory University,,,,,,,,,,,3
102310,STR,40,FALSE,FALSE,102310-40-Southbound-26,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
102526,SGN,899,FALSE,FALSE,102526-899-Southbound-26,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
102530,SGN,186,FALSE,FALSE,102530-186-Eastbound-10,,,,,,,,,,,,Snapfinger Wds Dr,,,,,,,,,,,,,1
102534,STR,21;55,FALSE,FALSE,102534-55-Southbound-2,102534-21-Eastbound-2,,,,,,,,,,,Kensington Stn,Forest Park,,,,,,,,,,,,2
102540,STR,813,FALSE,FALSE,102540-813-Westbound-3,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
102544,SGN,42,FALSE,FALSE,102544-42-Southbound-7,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102546,SGN,42,FALSE,FALSE,102546-42-Northbound-55,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102554,STR,49,FALSE,FALSE,102554-49-Southbound-5,,,,,,,,,,,,Metro Transitional,,,,,,,,,,,,,1
